experiment_id,dataset_id,source_tag,primary_target,description,script_ps1
RS01,401,T2_MAIN,T2_MAIN,ROI-constrained single-sequence screening using T2/T2WI family,outputs\sequence_screening\jobs\RS01\commands\run_RS01.ps1
RS02,402,DWI,DWI,ROI-constrained single-sequence screening using DWI,outputs\sequence_screening\jobs\RS02\commands\run_RS02.ps1
RS03,403,ADC,ADC,ROI-constrained single-sequence screening using ADC,outputs\sequence_screening\jobs\RS03\commands\run_RS03.ps1
RS04,404,T1,T1,ROI-constrained single-sequence screening using T1,outputs\sequence_screening\jobs\RS04\commands\run_RS04.ps1
RS05,405,InPhase,InPhase,ROI-constrained single-sequence screening using InPhase,outputs\sequence_screening\jobs\RS05\commands\run_RS05.ps1
RS06,406,OutPhase,OutPhase,ROI-constrained single-sequence screening using OutPhase,outputs\sequence_screening\jobs\RS06\commands\run_RS06.ps1
RS07,407,C-pre,C-pre,ROI-constrained single-sequence screening using C-pre,outputs\sequence_screening\jobs\RS07\commands\run_RS07.ps1
RS08,408,ARTERIAL,ARTERIAL,ROI-constrained single-sequence screening using ARTERIAL,outputs\sequence_screening\jobs\RS08\commands\run_RS08.ps1
RS09,409,PORTAL,PORTAL,ROI-constrained single-sequence screening using PORTAL,outputs\sequence_screening\jobs\RS09\commands\run_RS09.ps1
RS10,410,DELAY,DELAY,ROI-constrained single-sequence screening using DELAY,outputs\sequence_screening\jobs\RS10\commands\run_RS10.ps1
